fold,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,1,0.160364,0.936694,0.93658,0.072263,0.974333,0.974291,0.0001
1,2,0.103936,0.961996,0.961936,0.089699,0.971817,0.971689,0.0001
1,3,0.089534,0.967843,0.967774,0.061319,0.977353,0.977309,0.0001
1,4,0.087486,0.968246,0.968177,0.089421,0.9693,0.969219,0.0001
1,5,0.066153,0.976109,0.97606,0.069159,0.979869,0.979834,0.0001
1,6,0.060602,0.979536,0.97951,0.038409,0.984902,0.984879,0.0001
1,7,0.055194,0.980746,0.980723,0.035439,0.985405,0.985392,0.0001
1,8,0.05598,0.981754,0.981739,0.035785,0.986412,0.986382,0.0001
1,9,0.050412,0.981552,0.981524,0.022796,0.992954,0.992944,0.0001
1,10,0.046343,0.985786,0.985755,0.021641,0.991948,0.991933,0.0001
1,11,0.124736,0.963969,0.963904,0.121474,0.97534,0.975279,5e-05
1,12,0.072304,0.98118,0.98115,0.017355,0.994464,0.994459,5e-05
1,13,0.050059,0.987822,0.987807,0.011658,0.997987,0.997984,5e-05
1,14,0.057169,0.986111,0.986088,0.005301,0.997987,0.997984,5e-05
1,15,0.036433,0.989533,0.98952,0.014481,0.997484,0.99748,5e-05
1,16,0.038248,0.99064,0.990632,0.005776,0.99849,0.998489,5e-05
1,17,0.051816,0.988023,0.988014,0.020989,0.995974,0.995972,5e-05
1,18,0.043117,0.990439,0.990435,0.005244,0.998993,0.998992,5e-05
1,19,0.027252,0.993559,0.993556,0.010948,0.997484,0.99748,5e-05
1,20,0.025768,0.993458,0.993454,0.011825,0.99849,0.998491,5e-05
1,21,0.029911,0.993458,0.993456,0.004386,0.997987,0.997986,5e-05
1,22,0.018044,0.995068,0.995064,0.001198,1.0,1.0,5e-05
1,23,0.022238,0.994867,0.994865,0.000665,1.0,1.0,5e-05
1,24,0.028306,0.994163,0.994157,0.000331,1.0,1.0,5e-05
1,25,0.011908,0.997383,0.997381,0.005993,0.99849,0.998488,5e-05
1,26,0.019368,0.995874,0.995871,0.009403,0.997987,0.997984,5e-05
1,27,0.020038,0.995471,0.995468,0.000141,1.0,1.0,5e-05
1,28,0.013321,0.997081,0.997079,0.000852,0.999497,0.999496,5e-05
1,29,0.009217,0.997987,0.997986,0.001267,0.998993,0.998992,2.5e-05
